animal,channel,entropy_mean,entropy_std,animal_type
1,1,0.348950665,0.07771559,1
1,10,0.353384441,0.064501033,1
1,11,0.26149077,0.062202408,1
1,12,0.398219975,0.065273228,1
1,13,0.354927389,0.058372156,1
1,15,0.376998273,0.08305708,1
1,16,0.384366592,0.073146197,1
1,2,0.365536043,0.05747132,1
1,3,0.366283835,0.070646139,1
1,4,0.329616404,0.07564029,1
1,5,0.347934667,0.075304785,1
1,7,0.381683088,0.082965771,1
1,8,0.406423515,0.062574143,1
1,9,0.345782003,0.089560529,1
2,1,0.351364316,0.065217647,1
2,10,0.29815166,0.056483201,1
2,11,0.311375023,0.059606533,1
2,12,0.31487191,0.0566185,1
2,13,0.350965921,0.06063349,1
2,14,0.314600894,0.063080175,1
2,15,0.315915824,0.054299662,1
2,2,0.333171167,0.058192914,1
2,3,0.330401495,0.062415546,1
2,7,0.322709967,0.058611043,1
2,8,0.310722594,0.061131426,1
2,9,0.304863666,0.056737838,1
3,1,0.255952668,0.053809506,1
3,10,0.314762563,0.055698145,1
3,11,0.347368494,0.05125924,1
3,12,0.291983813,0.058114996,1
3,13,0.296395675,0.050559266,1
3,14,0.340020105,0.066174114,1
3,15,0.328841522,0.049051287,1
3,16,0.324089141,0.060177967,1
3,2,0.342209651,0.050478617,1
3,3,0.32935696,0.043139621,1
3,4,0.314743818,0.05253278,1
3,5,0.326546023,0.047380454,1
3,6,0.339472258,0.05230319,1
3,7,0.313895363,0.057327433,1
3,8,0.366583781,0.05624699,1
3,9,0.277139775,0.052002277,1
4,1,0.30252219,0.047689626,1
4,10,0.27378291,0.049802511,1
4,11,0.278944234,0.054068806,1
4,13,0.305046581,0.076336536,1
4,14,0.309914552,0.074502543,1
4,15,0.331983228,0.062031132,1
4,16,0.326285323,0.072559271,1
4,2,0.281281788,0.047815905,1
4,3,0.331580641,0.072157535,1
4,4,0.336117011,0.083150298,1
4,5,0.304098476,0.056703441,1
4,6,0.270917334,0.079218531,1
4,7,0.34308509,0.089148774,1
4,8,0.282596742,0.076722548,1
4,9,0.279111055,0.053573291,1
5,1,0.251636814,0.05373364,1
5,11,0.348314303,0.058424893,1
5,12,0.298123821,0.063660484,1
5,13,0.355593765,0.055891997,1
5,15,0.299852628,0.050491159,1
5,2,0.275163323,0.054429681,1
5,3,0.308699418,0.06656967,1
5,4,0.29765169,0.064909842,1
5,5,0.279485294,0.066609136,1
5,6,0.331389693,0.057788791,1
5,7,0.309958674,0.059777696,1
5,8,0.317806088,0.057677949,1
5,9,0.364988307,0.06242838,1
6,1,0.382224833,0.072519754,1
6,10,0.353063409,0.072380942,1
6,11,0.29971972,0.062066933,1
6,12,0.362857663,0.071337778,1
6,13,0.325519692,0.078268862,1
6,14,0.352851514,0.076361155,1
6,15,0.393485882,0.070217507,1
6,16,0.454859101,0.06264387,1
6,2,0.389192552,0.074787239,1
6,3,0.315250695,0.078504527,1
6,4,0.299591102,0.07686875,1
6,5,0.367119155,0.061358821,1
6,6,0.34405586,0.068746701,1
6,7,0.323592906,0.071363183,1
6,8,0.435564047,0.095865991,1
6,9,0.389112796,0.071460759,1
7,1,0.283421878,0.071862817,2
7,10,0.332568546,0.069994429,2
7,11,0.322930844,0.046629388,2
7,12,0.348606948,0.05924635,2
7,13,0.345632156,0.075478604,2
7,14,0.335194121,0.056217321,2
7,15,0.285765316,0.049636133,2
7,16,0.349477374,0.04802334,2
7,2,0.272415605,0.050447621,2
7,3,0.287974475,0.076586691,2
7,4,0.329396304,0.083308214,2
7,5,0.3449246,0.093129249,2
7,6,0.350626122,0.083557623,2
7,7,0.37610783,0.08265523,2
7,8,0.365582363,0.076246367,2
7,9,0.370205651,0.076811168,2
8,1,0.247950003,0.068396871,2
8,10,0.317040035,0.082827724,2
8,11,0.314554006,0.079143717,2
8,12,0.327549023,0.081654069,2
8,13,0.314732107,0.07597423,2
8,14,0.301888318,0.079266544,2
8,15,0.277887431,0.081135419,2
8,16,0.315966374,0.081022925,2
8,4,0.316192208,0.084664703,2
8,5,0.315309293,0.088571455,2
8,6,0.287847573,0.064757063,2
8,7,0.299012429,0.071609535,2
8,9,0.320648359,0.08378383,2
9,1,0.440140865,0.074752931,2
9,10,0.445347638,0.085104798,2
9,11,0.360844187,0.061096509,2
9,12,0.41475369,0.057713334,2
9,13,0.428502676,0.063624766,2
9,14,0.46537391,0.060648665,2
9,15,0.43540363,0.057476053,2
9,16,0.411793087,0.07731704,2
9,2,0.410074072,0.061392528,2
9,3,0.429648321,0.081057943,2
9,4,0.447025467,0.0668539,2
9,5,0.436000683,0.065326724,2
9,6,0.43309216,0.072914071,2
9,7,0.409835665,0.075769577,2
9,8,0.441687542,0.066635549,2
9,9,0.440439698,0.067488302,2
10,1,0.351978801,0.085807567,2
10,10,0.338887941,0.080527634,2
10,11,0.336441452,0.090619298,2
10,12,0.316095873,0.095350844,2
10,13,0.271956473,0.074175657,2
10,14,0.344533911,0.083814555,2
10,15,0.346491888,0.097351363,2
10,16,0.313556954,0.066312229,2
10,2,0.364154058,0.082197141,2
10,3,0.359549196,0.090231899,2
10,4,0.343931506,0.063103698,2
10,5,0.292669364,0.088172333,2
10,6,0.344016286,0.062126962,2
10,7,0.330318791,0.07260278,2
10,8,0.337156811,0.063922192,2
10,9,0.339876258,0.078867225,2
11,10,0.371410305,0.081200295,2
11,11,0.413327848,0.074614907,2
11,12,0.37786451,0.083392509,2
11,13,0.346869682,0.052862525,2
11,14,0.343175535,0.068406739,2
11,15,0.344028883,0.063984514,2
11,16,0.397429385,0.075318405,2
11,2,0.361847126,0.082299056,2
11,3,0.36296851,0.065371656,2
11,4,0.384694099,0.06743467,2
11,5,0.354915694,0.057409737,2
11,6,0.359226039,0.063405963,2
11,7,0.385181491,0.060274952,2
11,8,0.386503765,0.060060144,2
12,10,0.369667433,0.114903315,2
12,11,0.479299916,0.101116654,2
12,12,0.499604896,0.092396448,2
12,13,0.475355722,0.070180386,2
12,14,0.47884683,0.106022397,2
12,15,0.497417211,0.091444592,2
12,16,0.446787576,0.115024215,2
12,2,0.429185802,0.085879235,2
12,3,0.490749699,0.090583428,2
12,4,0.413614403,0.088816928,2
12,5,0.459630217,0.088793729,2
12,6,0.461587566,0.093273598,2
12,7,0.400417658,0.076655924,2
12,8,0.493164239,0.080743967,2
13,1,0.43059668,0.061747624,2
13,10,0.454319451,0.053272495,2
13,15,0.443578461,0.073114251,2
13,16,0.460062069,0.04970234,2
13,2,0.415169242,0.069704625,2
13,3,0.42126357,0.085238426,2
13,4,0.424775928,0.079655991,2
13,5,0.394908354,0.093110393,2
13,6,0.431015784,0.065035313,2
13,7,0.401015745,0.080281587,2
14,1,0.336923929,0.066730686,2
14,2,0.331430656,0.066933106,2
14,3,0.313428077,0.057362943,2
14,4,0.195279185,0.062570135,2
14,5,0.356202587,0.07451633,2
14,6,0.328972448,0.090665267,2
