Animal,Channel,Baseline_Entropy_Mean,Entropy_Mean,Baseline_Entropy_Std,Entropy_Std,Event_type,Coact_Type,Animal_Type
1,1,0.351364316,0.294495944,0.065217647,0.023321056,1,1,1
1,1,0.351364316,0.351581578,0.065217647,0.06523121,2,1,1
1,1,0.351364316,0.298830627,0.065217647,0.030516722,1,2,1
1,1,0.351364316,0.351565018,0.065217647,0.065233805,2,2,1
1,10,0.29815166,0.290355411,0.056483201,0,1,1,1
1,10,0.29815166,0.298154969,0.056483201,0.056494959,2,1,1
1,10,0.29815166,0.315607381,0.056483201,0.034360319,1,2,1
1,10,0.29815166,0.298092211,0.056483201,0.056534549,2,2,1
1,11,0.311375023,0.312461615,0.059606533,0.018010743,1,1,1
1,11,0.311375023,0.311373516,0.059606533,0.059644069,2,1,1
1,11,0.311375023,0.356039245,0.059606533,0.024359003,1,2,1
1,11,0.311375023,0.311157452,0.059606533,0.059645542,2,2,1
1,12,0.31487191,0.34464871,0.0566185,0.003663095,1,1,1
1,12,0.31487191,0.314825708,0.0566185,0.056650063,2,1,1
1,12,0.31487191,0.287903175,0.0566185,0.01781883,1,2,1
1,12,0.31487191,0.314976765,0.0566185,0.056692547,2,2,1
1,13,0.350965921,0.330712661,0.06063349,0.019492662,1,1,1
1,13,0.350965921,0.351029298,0.06063349,0.060707889,2,1,1
1,13,0.350965921,0.380706629,0.06063349,0.020142599,1,2,1
1,13,0.350965921,0.350926108,0.06063349,0.060659813,2,2,1
1,14,0.314600894,0.343640681,0.063080175,0.0355153,1,1,1
1,14,0.314600894,0.314517206,0.063080175,0.063122923,2,1,1
1,14,0.314600894,0.388216645,0.063080175,0.027392878,1,2,1
1,14,0.314600894,0.314327906,0.063080175,0.063015164,2,2,1
1,15,0.315915824,0.333871142,0.054299662,0.040217705,1,1,1
1,15,0.315915824,0.315862876,0.054299662,0.054327017,2,1,1
1,15,0.315915824,0.31318277,0.054299662,0.029358871,1,2,1
1,15,0.315915824,0.315927481,0.054299662,0.054381251,2,2,1
1,2,0.333171167,0.321204517,0.058192914,0.022179669,1,1,1
1,2,0.333171167,0.333207651,0.058192914,0.058264929,2,1,1
1,2,0.333171167,0.262208015,0.058192914,0.042480329,1,2,1
1,2,0.333171167,0.333387518,0.058192914,0.058101964,2,2,1
1,3,0.330401495,0.324582346,0.062415546,0.021293093,1,1,1
1,3,0.330401495,0.330420112,0.062415546,0.062502837,2,1,1
1,3,0.330401495,0.325052941,0.062415546,0.015284393,1,2,1
1,3,0.330401495,0.330418606,0.062415546,0.062508596,2,2,1
1,7,0.322709967,0.294039829,0.058611043,0.03941626,1,1,1
1,7,0.322709967,0.322796388,0.058611043,0.058638222,2,1,1
1,7,0.322709967,0.299683591,0.058611043,0.029678898,1,2,1
1,7,0.322709967,0.322796794,0.058611043,0.058676057,2,2,1
1,8,0.310722594,0.308183002,0.061131426,0.026989797,1,1,1
1,8,0.310722594,0.310728862,0.061131426,0.061192003,2,1,1
1,8,0.310722594,0.316525485,0.061131426,0.027560273,1,2,1
1,8,0.310722594,0.310706219,0.061131426,0.06119933,2,2,1
1,9,0.304863666,0.333436598,0.056737838,0.019703299,1,1,1
1,9,0.304863666,0.304785341,0.056737838,0.056786429,2,1,1
1,9,0.304863666,0.313971778,0.056737838,0.026551933,1,2,1
1,9,0.304863666,0.304813594,0.056737838,0.056855479,2,2,1
2,1,0.255952668,0.255256051,0.053809506,0.068139336,1,1,1
2,1,0.255952668,0.255969009,0.053809506,0.053427132,2,1,1
2,1,0.255952668,0.182850972,0.053809506,0.039991583,1,2,1
2,1,0.255952668,0.256389655,0.053809506,0.053582418,2,2,1
2,10,0.314762563,0.289348711,0.055698145,0.040416811,1,1,1
2,10,0.314762563,0.315558623,0.055698145,0.055923395,2,1,1
2,10,0.314762563,0.279469135,0.055698145,0.020044807,1,2,1
2,10,0.314762563,0.315027467,0.055698145,0.055795457,2,2,1
2,11,0.347368494,0.328369485,0.05125924,0.05295191,1,1,1
2,11,0.347368494,0.347963033,0.05125924,0.051091493,2,1,1
2,11,0.347368494,0.354367542,0.05125924,0.039859647,1,2,1
2,11,0.347368494,0.34729751,0.05125924,0.05135701,2,2,1
2,12,0.291983813,0.301442725,0.058114996,0.077996309,1,1,1
2,12,0.291983813,0.291691595,0.058114996,0.057366397,2,1,1
2,12,0.291983813,0.228832527,0.058114996,0.031965061,1,2,1
2,12,0.291983813,0.292309423,0.058114996,0.058041619,2,2,1
2,13,0.296395675,0.301775161,0.050559266,0.054699956,1,1,1
2,13,0.296395675,0.296233622,0.050559266,0.050420351,2,1,1
2,13,0.296395675,0.269656342,0.050559266,0.044027107,1,2,1
2,13,0.296395675,0.296598737,0.050559266,0.050551562,2,2,1
2,14,0.340020105,0.317520598,0.066174114,0.045929439,1,1,1
2,14,0.340020105,0.340819378,0.066174114,0.066640926,2,1,1
2,14,0.340020105,0.321905626,0.066174114,0.024629467,1,2,1
2,14,0.340020105,0.340161013,0.066174114,0.066376092,2,2,1
2,15,0.328841522,0.31985539,0.049051287,0.049394961,1,1,1
2,15,0.328841522,0.329062986,0.049051287,0.049021993,2,1,1
2,15,0.328841522,0.306659682,0.049051287,0.053284298,1,2,1
2,15,0.328841522,0.328969842,0.049051287,0.04899653,2,2,1
2,16,0.324089141,0.314921294,0.060177967,0.045614973,1,1,1
2,16,0.324089141,0.324395842,0.060177967,0.060580715,2,1,1
2,16,0.324089141,0.323722689,0.060177967,0.036051163,1,2,1
2,16,0.324089141,0.324091318,0.060177967,0.060292447,2,2,1
2,2,0.342209651,0.343581145,0.050478617,0.045787772,1,1,1
2,2,0.342209651,0.342159117,0.050478617,0.050642449,2,1,1
2,2,0.342209651,0.319164035,0.050478617,0.036596578,1,2,1
2,2,0.342209651,0.342348991,0.050478617,0.050518994,2,2,1
2,3,0.32935696,0.323272245,0.043139621,0.043679634,1,1,1
2,3,0.32935696,0.329576681,0.043139621,0.043103929,2,1,1
2,3,0.32935696,0.348624116,0.043139621,0.041187021,1,2,1
2,3,0.32935696,0.329177843,0.043139621,0.043116986,2,2,1
2,4,0.314743818,0.324522913,0.05253278,0.043402058,1,1,1
2,4,0.314743818,0.314407874,0.05253278,0.052786237,2,1,1
2,4,0.314743818,0.28734973,0.05253278,0.043197272,1,2,1
2,4,0.314743818,0.314965951,0.05253278,0.052543366,2,2,1
2,5,0.326546023,0.339146828,0.047380454,0.054006776,1,1,1
2,5,0.326546023,0.326065615,0.047380454,0.047042637,2,1,1
2,5,0.326546023,0.285562389,0.047380454,0.037112191,1,2,1
2,5,0.326546023,0.326840292,0.047380454,0.047317968,2,2,1
2,6,0.339472258,0.330099381,0.05230319,0.04652514,1,1,1
2,6,0.339472258,0.339778711,0.05230319,0.052453101,2,1,1
2,6,0.339472258,0.30801847,0.05230319,0.037242591,1,2,1
2,6,0.339472258,0.339773185,0.05230319,0.052335173,2,2,1
2,7,0.313895363,0.29420373,0.057327433,0.047139445,1,1,1
2,7,0.313895363,0.314425442,0.057327433,0.057483611,2,1,1
2,7,0.313895363,0.262316119,0.057327433,0.022246423,1,2,1
2,7,0.313895363,0.314083462,0.057327433,0.057331294,2,2,1
2,8,0.366583781,0.371303055,0.05624699,0.060061555,1,1,1
2,8,0.366583781,0.366457216,0.05624699,0.056135657,2,1,1
2,8,0.366583781,0.400041984,0.05624699,0.051567032,1,2,1
2,8,0.366583781,0.366371509,0.05624699,0.0562119,2,2,1
2,9,0.277139775,0.252808501,0.052002277,0.032376789,1,1,1
2,9,0.277139775,0.277911693,0.052002277,0.052320127,2,1,1
2,9,0.277139775,0.221037169,0.052002277,0.040192481,1,2,1
2,9,0.277139775,0.277616432,0.052002277,0.051831636,2,2,1
3,1,0.30252219,0.332228016,0.047689626,0.05200845,1,1,1
3,1,0.30252219,0.301511259,0.047689626,0.047207994,2,1,1
3,1,0.30252219,0.324881185,0.047689626,0.055193912,1,2,1
3,1,0.30252219,0.301924401,0.047689626,0.047327953,2,2,1
3,10,0.27378291,0.245433877,0.049802511,0.050020236,1,1,1
3,10,0.27378291,0.274664809,0.049802511,0.049536201,2,1,1
3,10,0.27378291,0.235316815,0.049802511,0.045926346,1,2,1
3,10,0.27378291,0.274756461,0.049802511,0.049510452,2,2,1
3,11,0.278944234,0.26625396,0.054068806,0.051334478,1,1,1
3,11,0.278944234,0.279364954,0.054068806,0.054106142,2,1,1
3,11,0.278944234,0.255186607,0.054068806,0.045134891,1,2,1
3,11,0.278944234,0.27958331,0.054068806,0.054145038,2,2,1
3,13,0.305046581,0.254516202,0.076336536,0.100220502,1,1,1
3,13,0.305046581,0.306515221,0.076336536,0.075022246,2,1,1
3,13,0.305046581,0.237155625,0.076336536,0.095010307,1,2,1
3,13,0.305046581,0.306515817,0.076336536,0.07520715,2,2,1
3,14,0.309914552,0.288409143,0.074502543,0.093310135,1,1,1
3,14,0.309914552,0.311539405,0.074502543,0.072626309,2,1,1
3,14,0.309914552,0.29327401,0.074502543,0.091421165,1,2,1
3,14,0.309914552,0.31052031,0.074502543,0.073742745,2,2,1
3,15,0.331983228,0.32345426,0.062031132,0.070764001,1,1,1
3,15,0.331983228,0.332706022,0.062031132,0.061179212,2,1,1
3,15,0.331983228,0.287440197,0.062031132,0.063309334,1,2,1
3,15,0.331983228,0.334046529,0.062031132,0.061190499,2,2,1
3,16,0.326285323,0.327547969,0.072559271,0.073839245,1,1,1
3,16,0.326285323,0.326204384,0.072559271,0.0724757,2,1,1
3,16,0.326285323,0.336404275,0.072559271,0.048728893,1,2,1
3,16,0.326285323,0.325853106,0.072559271,0.073374003,2,2,1
3,2,0.281281788,0.30358381,0.047815905,0.071824391,1,1,1
3,2,0.281281788,0.28067214,0.047815905,0.046838801,2,1,1
3,2,0.281281788,0.274654174,0.047815905,0.068581173,1,2,1
3,2,0.281281788,0.281409242,0.047815905,0.04731827,2,2,1
3,3,0.331580641,0.340788838,0.072157535,0.071731056,1,1,1
3,3,0.331580641,0.331199262,0.072157535,0.072149804,2,1,1
3,3,0.331580641,0.329779484,0.072157535,0.058471778,1,2,1
3,3,0.331580641,0.33163475,0.072157535,0.072528033,2,2,1
3,4,0.336117011,0.299564474,0.083150298,0.065855454,1,1,1
3,4,0.336117011,0.337400494,0.083150298,0.083402029,2,1,1
3,4,0.336117011,0.295593973,0.083150298,0.066527908,1,2,1
3,4,0.336117011,0.337235294,0.083150298,0.083283041,2,2,1
3,5,0.304098476,0.293563199,0.056703441,0.046535153,1,1,1
3,5,0.304098476,0.304403468,0.056703441,0.056941761,2,1,1
3,5,0.304098476,0.280786905,0.056703441,0.046340202,1,2,1
3,5,0.304098476,0.304694238,0.056703441,0.056818378,2,2,1
3,6,0.270917334,0.239380775,0.079218531,0.079918884,1,1,1
3,6,0.270917334,0.271902852,0.079218531,0.078993934,2,1,1
3,6,0.270917334,0.228756817,0.079218531,0.066494157,1,2,1
3,6,0.270917334,0.272065675,0.079218531,0.079223375,2,2,1
3,7,0.34308509,0.33942302,0.089148774,0.103184573,1,1,1
3,7,0.34308509,0.343315645,0.089148774,0.088185312,2,1,1
3,7,0.34308509,0.358177595,0.089148774,0.115029087,1,2,1
3,7,0.34308509,0.342502118,0.089148774,0.087944615,2,2,1
3,8,0.282596742,0.272137678,0.076722548,0.107886767,1,1,1
3,8,0.282596742,0.283223242,0.076722548,0.074396145,2,1,1
3,8,0.282596742,0.256017616,0.076722548,0.068908061,1,2,1
3,8,0.282596742,0.283773195,0.076722548,0.076837933,2,2,1
3,9,0.279111055,0.252271979,0.053573291,0.058535532,1,1,1
3,9,0.279111055,0.279909432,0.053573291,0.053211689,2,1,1
3,9,0.279111055,0.242537384,0.053573291,0.053553877,1,2,1
3,9,0.279111055,0.280080199,0.053573291,0.053233149,2,2,1
4,1,0.382224833,0.392738328,0.072519754,0.036770232,1,1,1
4,1,0.382224833,0.382092046,0.072519754,0.072849489,2,1,1
4,1,0.382224833,0.385669195,0.072519754,0.045908682,1,2,1
4,1,0.382224833,0.382189811,0.072519754,0.072739518,2,2,1
4,10,0.353063409,0.334888044,0.072380942,0.054474368,1,1,1
4,10,0.353063409,0.353279782,0.072380942,0.072540081,2,1,1
4,10,0.353063409,0.340652723,0.072380942,0.050420074,1,2,1
4,10,0.353063409,0.353177075,0.072380942,0.072541551,2,2,1
4,11,0.29971972,0.272066128,0.062066933,0.049710816,1,1,1
4,11,0.29971972,0.30010478,0.062066933,0.062134847,2,1,1
4,11,0.29971972,0.278930663,0.062066933,0.064591846,1,2,1
4,11,0.29971972,0.299949466,0.062066933,0.061999524,2,2,1
4,12,0.362857663,0.34575548,0.071337778,0.032766134,1,1,1
4,12,0.362857663,0.363111068,0.071337778,0.071722926,2,1,1
4,12,0.362857663,0.350969357,0.071337778,0.030732251,1,2,1
4,12,0.362857663,0.362973264,0.071337778,0.071610005,2,2,1
4,13,0.325519692,0.317622691,0.078268862,0.052159191,1,1,1
4,13,0.325519692,0.325609494,0.078268862,0.078511289,2,1,1
4,13,0.325519692,0.319550532,0.078268862,0.052082521,1,2,1
4,13,0.325519692,0.325569412,0.078268862,0.078448375,2,2,1
4,14,0.352851514,0.361597636,0.076361155,0.037085603,1,1,1
4,14,0.352851514,0.352742962,0.076361155,0.076716139,2,1,1
4,14,0.352851514,0.367620697,0.076361155,0.040550749,1,2,1
4,14,0.352851514,0.352743573,0.076361155,0.076550756,2,2,1
4,15,0.393485882,0.36517779,0.070217507,0.058285635,1,1,1
4,15,0.393485882,0.393865941,0.070217507,0.070286419,2,1,1
4,15,0.393485882,0.378823405,0.070217507,0.046899733,1,2,1
4,15,0.393485882,0.393616535,0.070217507,0.070376841,2,2,1
4,16,0.454859101,0.418242684,0.06264387,0.063106984,1,1,1
4,16,0.454859101,0.455350527,0.06264387,0.062491897,2,1,1
4,16,0.454859101,0.430112888,0.06264387,0.063663226,1,2,1
4,16,0.454859101,0.455070066,0.06264387,0.062593065,2,2,1
4,2,0.389192552,0.383572306,0.074787239,0.052126141,1,1,1
4,2,0.389192552,0.389258488,0.074787239,0.075009982,2,1,1
4,2,0.389192552,0.362865607,0.074787239,0.052302011,1,2,1
4,2,0.389192552,0.389403102,0.074787239,0.074902587,2,2,1
4,3,0.315250695,0.288758297,0.078504527,0.036780924,1,1,1
4,3,0.315250695,0.315648649,0.078504527,0.078895594,2,1,1
4,3,0.315250695,0.298825628,0.078504527,0.031728,1,2,1
4,3,0.315250695,0.315394706,0.078504527,0.078776798,2,2,1
4,4,0.299591102,0.264950562,0.07686875,0.051229541,1,1,1
4,4,0.299591102,0.300095953,0.07686875,0.077064437,2,1,1
4,4,0.299591102,0.248861557,0.07686875,0.030044604,1,2,1
4,4,0.299591102,0.300062566,0.07686875,0.077014223,2,2,1
4,5,0.367119155,0.347539631,0.061358821,0.03910108,1,1,1
4,5,0.367119155,0.367385453,0.061358821,0.061563232,2,1,1
4,5,0.367119155,0.351140875,0.061358821,0.036747978,1,2,1
4,5,0.367119155,0.367265199,0.061358821,0.061519256,2,2,1
4,6,0.34405586,0.279777974,0.068746701,0.047645141,1,1,1
4,6,0.34405586,0.344984318,0.068746701,0.068564158,2,1,1
4,6,0.34405586,0.275142781,0.068746701,0.045685385,1,2,1
4,6,0.34405586,0.344716288,0.068746701,0.06859629,2,2,1
4,7,0.323592906,0.309675432,0.071363183,0.044082697,1,1,1
4,7,0.323592906,0.323750879,0.071363183,0.071597686,2,1,1
4,7,0.323592906,0.307490657,0.071363183,0.046814009,1,2,1
4,7,0.323592906,0.323720412,0.071363183,0.071509492,2,2,1
4,8,0.435564047,0.330444161,0.095865991,0.050783985,1,1,1
4,8,0.435564047,0.438535134,0.095865991,0.09516302,2,1,1
4,8,0.435564047,0.320271619,0.095865991,0.055241678,1,2,1
4,8,0.435564047,0.437559788,0.095865991,0.095197022,2,2,1
4,9,0.389112796,0.385378867,0.071460759,0.046415147,1,1,1
4,9,0.389112796,0.389162715,0.071460759,0.071735069,2,1,1
4,9,0.389112796,0.391568621,0.071460759,0.050265286,1,2,1
4,9,0.389112796,0.389088805,0.071460759,0.07163648,2,2,1
5,1,0.247950003,0.227094421,0.068396871,0.083486491,1,1,2
5,1,0.247950003,0.251858422,0.068396871,0.064434771,2,1,2
5,1,0.247950003,0.230113754,0.068396871,0.063865503,1,2,2
5,1,0.247950003,0.249615056,0.068396871,0.068568287,2,2,2
5,10,0.317040035,0.308758361,0.082827724,0.089742367,1,1,2
5,10,0.317040035,0.318496154,0.082827724,0.0814644,2,1,2
5,10,0.317040035,0.308890697,0.082827724,0.07806304,1,2,2
5,10,0.317040035,0.317845554,0.082827724,0.083240568,2,2,2
5,11,0.314554006,0.268789715,0.079143717,0.086092347,1,1,2
5,11,0.314554006,0.322520598,0.079143717,0.075071998,2,1,2
5,11,0.314554006,0.290288157,0.079143717,0.078200168,1,2,2
5,11,0.314554006,0.316635565,0.079143717,0.078877244,2,2,2
5,12,0.327549023,0.297445612,0.081654069,0.097374595,1,1,2
5,12,0.327549023,0.332077526,0.081654069,0.078020369,2,1,2
5,12,0.327549023,0.315357994,0.081654069,0.087041066,1,2,2
5,12,0.327549023,0.328507393,0.081654069,0.081137815,2,2,2
5,13,0.314732107,0.307607106,0.07597423,0.093570447,1,1,2
5,13,0.314732107,0.315949295,0.07597423,0.07247258,2,1,2
5,13,0.314732107,0.322734892,0.07597423,0.103774795,1,2,2
5,13,0.314732107,0.313846423,0.07597423,0.072188433,2,2,2
5,14,0.301888318,0.276608352,0.079266544,0.092220125,1,1,2
5,14,0.301888318,0.305629945,0.079266544,0.076457949,2,1,2
5,14,0.301888318,0.307258223,0.079266544,0.093694971,1,2,2
5,14,0.301888318,0.301497952,0.079266544,0.078099433,2,2,2
5,15,0.277887431,0.238184411,0.081135419,0.088627172,1,1,2
5,15,0.277887431,0.284291143,0.081135419,0.077990832,2,1,2
5,15,0.277887431,0.257094272,0.081135419,0.073636206,1,2,2
5,15,0.277887431,0.279777718,0.081135419,0.081520507,2,2,2
5,16,0.315966374,0.277805725,0.081022925,0.082699585,1,1,2
5,16,0.315966374,0.322999905,0.081022925,0.078716227,2,1,2
5,16,0.315966374,0.301449108,0.081022925,0.087627548,1,2,2
